year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2018,Service,Services,OB,135,10153254.45,8603890.14,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Good,Biens,OB,167,25766964.49,176343.51,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Construction,Construction,OB,19,3225616.93,371315.65,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Service,Services,AC,38,2293999.11,296006.87,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Good,Biens,AC,7,604347.14,137860.0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Construction,Construction,AC,2,60755.3,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Service,Services,TN,282,14803148.22,2406046.22,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Good,Biens,TN,207,8989636.78,3248.29,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Construction,Construction,TN,8,181165.96,6499.53,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Service,Services,TC,31,870021.55,234848.06,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Good,Biens,TC,20,620349.09,82540,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Construction,Construction,TC,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Service,Services,TN,21,766018.82,18000.0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Good,Biens,TN,6,843012.65,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Construction,Construction,TN,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2021,Service,Services,TN,18,683870.23,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2021,Good,Biens,TN,5,269508.99,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2021,Construction,Construction,TN,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2021,Service,Services,TC,13,505863.32,11500,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2021,Good,Biens,TC,23,850266.96,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2021,Construction,Construction,TC,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2021,Service,Services,OB,1,59315.62,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2021,Good,Biens,OB,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2021,Construction,Construction,OB,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2020,Service,Services,TC,16,515094.86,156227.17,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2020,Good,Biens,TC,25,1039299.56,5750.0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2020,Construction,Construction,TC,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2020,Service,Services,TN,23,1228076.58,396675.15,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2020,Good,Biens,TN,7,401677.33,4251.87,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2020,Construction,Construction,TN,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2020,Service,Services,AC,1,80500,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2020,Good,Biens,AC,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2020,Construction,Construction,AC,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2018,Service,Services,TC,29,742395.76,109688.78,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2018,Good,Biens,TC,18,552356.04,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2018,Construction,Construction,TC,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2018,Service,Services,TN,23,525113.21,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2018,Good,Biens,TN,9,518683.92,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2018,Construction,Construction,TN,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Service,Services,TC,34,2277995.02,44939.7,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Good,Biens,TC,14,378652.43,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Construction,Construction,TC,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Service,Services,TN,17,441443.19,4485.0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Good,Biens,TN,5,355187.36,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Construction,Construction,TN,1,13805.55,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2018,Service,Services,OB,140,72549012.70,22010952.42,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Good,Biens,OB,93,24723344.19,2517387.00,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Construction,Construction,OB,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Service,Services,TC,164,67600277.33,169985247.40,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Good,Biens,TC,114,18862636.69,957834.69,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Construction,Construction,TC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Service,Services,TN,98,7407300.59,1185554.23,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Good,Biens,TN,45,1373543.07,473183.41,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Construction,Construction,TN,2,51296.7,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Service,Services,AC,8,14879699.95,921916.44,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Good,Biens,AC,1,191642.0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2018,Construction,Construction,AC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2020,Service,Services,TN,142,20408733.66,10279267.36,Canada Border Services Agency,Agence des services frontaliers du Canada
2020,Good,Biens,TN,89,9083580.66,409514.43,Canada Border Services Agency,Agence des services frontaliers du Canada
2020,Construction,Construction,TN,1,23760.23,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2020,Service,Services,OB,167,114210890.11,18261275.45,Canada Border Services Agency,Agence des services frontaliers du Canada
2020,Good,Biens,OB,213,21832234.47,82106.55,Canada Border Services Agency,Agence des services frontaliers du Canada
2020,Construction,Construction,OB,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2020,Service,Services,TC,172,37392756.75,12684326.88,Canada Border Services Agency,Agence des services frontaliers du Canada
2020,Good,Biens,TC,79,10654652.64,372217.22,Canada Border Services Agency,Agence des services frontaliers du Canada
2020,Construction,Construction,TC,1,15582.7,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Service,Services,TC,99,31398657.40,30066448.79,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Good,Biens,TC,72,14275505.17,3483876.49,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Construction,Construction,TC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Service,Services,OB,194,159866186.89,47136848.59,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Good,Biens,OB,69,7349743.76,1373014.86,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Construction,Construction,OB,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Service,Services,TN,85,18780018.11,6224835.77,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Good,Biens,TN,34,2209960.04,2122524.47,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Construction,Construction,TN,4,127682.39,240948.20,Canada Border Services Agency,Agence des services frontaliers du Canada
